T0055G0002S0383 给我买张飞机票吧
T0055G0013S0392 给我打家里电话
T0055G0013S0497 今天我爸爸是个失败者
T0055G0013S0462 你想吃啥呀 我请你
T0055G0013S0081 我要上哈尔滨火车站
T0055G0013S0025 明天五点钟起床
T0055G0013S0224 二零一三年的中国领导人是谁
T0055G0013S0308 九点二十叫我起床
T0055G0013S0167 你说的什么呀我都听不懂
T0055G0013S0148 五一节中关村附近的商店都在做活动
T0055G0013S0351 世界之窗在哪里
T0055G0013S0185 你还会讲笑话吗
T0055G0013S0209 丰收路中国银行
T0055G0013S0470 江涛抽的生日快乐
T0055G0013S0157 赌侠大战拉斯维加
T0055G0013S0044 打电话给张龙波
T0055G0013S0191 盐城明天的温度多少 盐城明天的温度多少
T0055G0013S0319 请问二零一二是世界末日吗
T0055G0013S0456 我一生只两件事不会这也不会那也不会
T0055G0013S0228 三八节放几天假
T0055G0013S0399 虽然这是一个迟到的祝愿但它代表我的祝福
T0055G0013S0426 吉安县物价局
T0055G0013S0111 我很喜欢吃辣的
T0055G0013S0116 赣州市政府怎么走
T0055G0013S0060 我听过这个了 换一个
T0055G0013S0173 那你陪我聊天吗
T0055G0013S0152 广州周边有哪些景点
T0055G0013S0310 文化银是什么东西
T0055G0013S0357 棠梅村何时来电
T0055G0013S0160 搜索高新区张庄
T0055G0013S0451 好吧聊什么你说
T0055G0013S0087 中苏珍宝岛事件
T0055G0013S0175 怎么还是在一个样换一个
T0055G0013S0459 今天中午吃什么菜
T0055G0013S0076 四平市天气预报
T0055G0013S0065 报一下今天的天气预报
T0055G0013S0070 我今天到底出不出去了
T0055G0013S0168 百度语音助手好不好
T0055G0013S0129 今天我老爸生日在哪能定购美味价格实惠的蛋糕
T0055G0013S0305 北京上季度的油价趋势是什么情况
T0055G0013S0257 给曹本龙打电话
T0055G0013S0419 小沈阳演唱的爱是你我
T0055G0013S0468 英雄联盟有没有单机版的
T0055G0013S0296 给我的妈妈打电话打个电话给我的妈妈
T0055G0013S0261 发短信给幺幺零
T0055G0013S0143 绿色搭配什么颜色比较好看
T0055G0013S0237 每天报告天气预报
T0055G0013S0316 拨电话给四三三二六五八
T0055G0013S0384 我现在报名可能要等六七月份才回来学我马上要去杭州我怕涨价
T0055G0013S0289 我不想听歌 我要听笑话
T0055G0013S0369 鹤岗市地理位置
T0055G0013S0492 怎么样晚上天气怎么样
T0055G0013S0293 我说想我的女朋友了
T0055G0013S0035 打开列表里面的QQ
T0055G0013S0472 给我唱一个 我的好妈妈
T0055G0013S0358 你的听力怎么弄
T0055G0013S0295 赵老师是我没收到名单
T0055G0013S0362 给崔志强打电话
T0055G0013S0151 电脑密码是什么
T0055G0013S0405 澳大利亚墨尔本
T0055G0013S0336 现在找不到工作怎么办
T0055G0013S0418 搜到一一首宋代有关江河的唐诗
T0055G0013S0171 打电话给卫生下
T0055G0013S0125 怎样才能达到高潮
T0055G0013S0110 暗渡陈仓是啥意思
T0055G0013S0329 播放 小老鼠上灯台
T0055G0013S0342 我想听求佛誓言唱的这首歌
T0055G0013S0012 附近有什么特色
T0055G0013S0061 打你电话号码发给我
T0055G0013S0074 家里情况怎么样还是那样吗
T0055G0013S0197 双色球开奖记录
T0055G0013S0482 说一个笑话来听听
T0055G0013S0137 今天的国家主席是谁
T0055G0013S0284 今天中山的天气怎么样啊
T0055G0013S0331 那我可以打你吗
T0055G0013S0141 要知道我想听歌
T0055G0013S0258 看电影泰坦尼克号
T0055G0013S0453 给我唱一首歌吗
T0055G0013S0227 我手机好卡帮我清理一下
T0055G0013S0189 你哥哥的女朋友是谁
T0055G0013S0255 今晚八点三十五分我要去上班
T0055G0013S0406 那么你这个机器人如何工作的
T0055G0013S0364 你去过旺角没啊
T0055G0013S0441 小志明天天气怎么样
T0055G0013S0332 扬州文汇路主要商场及手机卖场
T0055G0013S0011 怎样与异性正确交往而不会发生关系
T0055G0013S0219 江南style 女版视频
T0055G0013S0092 本人有部女式永久自行车要卖
T0055G0013S0156 给我一首不得不爱
T0055G0013S0128 我用机器人给你发的短信
T0055G0013S0139 我说你肯定会变聪明
T0055G0013S0182 为什么看到我不说话呢
T0055G0013S0275 我要上网买衣服
T0055G0013S0493 推荐几部好看电影
T0055G0013S0045 你是一个可爱的男人
T0055G0013S0252 阿里郎的忘记你太难
T0055G0013S0424 唱一首梅花三弄
T0055G0013S0431 搜索三峡联合职业大学
T0055G0013S0050 这样不好看的太清楚了容易失落的还是糊涂的好难得糊涂
T0055G0013S0120 那你就唱一首吧
T0055G0013S0404 棉花糖的歌词例如你就是我心中的棉花糖甜蜜的梦想
T0055G0013S0379 打电话给燕子号短号
T0055G0013S0043 你只把我当成你的大熊吧
T0055G0013S0394 我失恋了好难过
T0055G0013S0300 播放 一万个舍不得
T0055G0013S0388 中国移动模有东电话
T0055G0013S0345 给刘华伟打电话
T0055G0013S0447 韩语韩国的韩语
T0055G0013S0325 教学模式能做什么
T0055G0013S0019 帮我找一下附近的加油站
T0055G0013S0303 讲个笑讲个笑话
T0055G0013S0442 有什么发型网能引领潮流的那要全是男的
T0055G0013S0270 你们的老板叫什么名字
T0055G0013S0041 你在欺负我不会英语吗
T0055G0013S0122 去三D 网站点亮后就有QQ 功能了吗
T0055G0013S0361 珠海市斗门白蕉汽车站的联系电话
T0055G0013S0446 什么软件可以破解无线网
T0055G0013S0311 习近平多大年纪
T0055G0013S0174 我宿舍洗衣机的水龙头坏了请问哪里有人维修
T0055G0013S0338 播放杨幂的歌曲
T0055G0013S0245 网上填报高考志愿并被录取而不去读可以不
T0055G0013S0153 打开我的QQ 浏览器
T0055G0013S0169 我说不是这个意思
T0055G0013S0130 取消这个备忘录
T0055G0013S0094 你的寄语感言
T0055G0013S0417 给我找一个附近的网吧
T0055G0013S0040 收到请回答 收到请回答
T0055G0013S0028 唱一首摇篮曲吧
T0055G0013S0064 光大银行的客服电话
T0055G0013S0234 酷派手机什么时候创立的
T0055G0013S0461 永不分离的英文怎么说
T0055G0013S0452 十八点三十分提示我开会
T0055G0013S0243 我说这首歌好听吗
T0055G0013S0210 没有我反正就是不喜欢你
T0055G0013S0416 我跟你说以后别这么叫我
T0055G0013S0395 那你的真实名字叫什么
T0055G0013S0102 那你对找男朋友有什么标准吗
T0055G0013S0205 给我给我放一首钢琴曲
T0055G0013S0333 播放歌曲我们的爱
T0055G0013S0474 你怎么这么多不知道的问题呀
T0055G0013S0489 若一扇门长和宽各是几厘米才是黄金分割零点六幺八
T0055G0013S0077 找王军联系电话
T0055G0013S0499 为什么我打败了赛尔号里的里奥斯没获得胡里亚
T0055G0013S0136 从北京理工大学骑车到最近的家乐福要多久
T0055G0013S0216 六八二六三八六
T0055G0013S0146 十二生肖成龙电影
T0055G0013S0352 来一首玛丽亚凯莉的歌
T0055G0013S0367 放一首仙剑奇侠传的莫失莫忘
T0055G0013S0469 现在油价多少钱了
T0055G0013S0108 播放电视剧楚汉传奇
T0055G0013S0106 一九四九年出现什么时间
T0055G0013S0073 石家庄野生动物园的门票
T0055G0013S0445 附近有什么电影看
T0055G0013S0013 大气压与温度有什么有关吗
T0055G0013S0323 给我播放我的歌声里
T0055G0013S0274 注意接收的短信
T0055G0013S0283 我又不是欠你房租不交一个月一个月的交吧
T0055G0013S0037 三亚明天的天气
T0055G0013S0075 你寒假是不是有时间这样我们可以利用假期把录音完成
T0055G0013S0500 刘德华的妻子是谁
T0055G0013S0211 热爱头挺胸昂首阔步在党的阳光下沐浴的人怎能消沉嘿嘿
T0055G0013S0463 你比较喜欢哪一个
T0055G0013S0380 真伤心发你短发你信息怎么就不回用英语怎么写
T0055G0013S0042 来首陈奕迅的歌吧
T0055G0013S0047 小志你在干什么呢
T0055G0013S0301 下午六点五十分
T0055G0013S0281 钓鱼岛是不是中国的
T0055G0013S0487 我国最后一个皇帝是谁
T0055G0013S0347 腾讯QQ 真伟大申请小号谈恋爱
T0055G0013S0021 给我清理手机内存
T0055G0013S0348 郑州市是否准备成立直辖市
T0055G0013S0371 你现在处于什么年代
T0055G0013S0448 我说你怎么还没有睡
T0055G0013S0051 三星和苹果谁更厉害
T0055G0013S0093 打电话给亲爱的
T0055G0013S0038 杨臣刚的 老鼠爱大米
T0055G0013S0027 附近前列腺按摩
T0055G0013S0071 这两天天气
T0055G0013S0389 我老婆叫冼娟榕请记住
T0055G0013S0200 打开软件应用程序
T0055G0013S0118 你好我现在在哪里呀
T0055G0013S0328 可以给我讲个笑话吗
T0055G0013S0133 无线控制
T0055G0013S0036 明天早上七点十分提醒我起床
T0055G0013S0247 我在想你啊你有没有很想我啊
T0055G0013S0443 女优高树玛莉亚
T0055G0013S0180 好呀以后买个大房子专门设个琴房放钢琴
T0055G0013S0444 去PGP 好了给你庆祝一下
T0055G0013S0254 禽流感是怎么传染的
T0055G0013S0178 普兰店联通营业厅
T0055G0013S0140 安徽阜阳天气预报
T0055G0013S0014 兰州日报招聘广告
T0055G0013S0478 两点半以后叫我
T0055G0013S0355 翻译你现在在哪
T0055G0013S0062 下载安装flash
T0055G0013S0315 电信充值号是多少
T0055G0013S0363 足彩怎么兑奖
T0055G0013S0018 找个笑话逗我开心
T0055G0013S0082 宁夏海原到宁夏兴仁
T0055G0013S0213 我明天写信翻译成英语
T0055G0013S0080 现在距离过年还有多久
T0055G0013S0396 你能给我讲一个笑话吗
T0055G0013S0337 测试感情的趣味题
T0055G0013S0251 来一首 黑猫警长
T0055G0013S0147 明天去哪里玩呢
T0055G0013S0240 找一首汪生唱的歌
T0055G0013S0427 山西省省长是谁
T0055G0013S0203 怎么看藏獒他纯不纯
T0055G0013S0078 可以放个电影吗
T0055G0013S0377 儿子哭了怎么办
T0055G0013S0145 今天上海的天气预报
T0055G0013S0053 不要再提看书了
T0055G0013S0199 生日快乐愿老大梦想成真
T0055G0013S0004 现在最流行的网络歌曲是什么
T0055G0013S0425 青春期撞上更年期
T0055G0013S0218 我说你的笑话很好笑
T0055G0013S0286 鑫诺三号与中星六B 的内视部分节目重复的有
T0055G0013S0158 什么游戏好玩
T0055G0013S0144 你认为我长得帅吗
T0055G0013S0359 你今天请我吃饭吗
T0055G0013S0046 选择这些人干什么
T0055G0013S0494 翻译你明天是否依然爱我
T0055G0013S0306 你好后天提醒我
T0055G0013S0166 我要听刘哥刘德华天意
T0055G0013S0466 捕鱼达人破解版
T0055G0013S0235 下班后等我一下有个事情要和你商量
T0055G0013S0330 电影神呐请多给我一点时间内容全介绍
T0055G0013S0290 你还是比较明智放弃是正确的
T0055G0013S0464 知道我的名字吗
T0055G0013S0131 至上励合什么能时候发行第二张专辑
T0055G0013S0495 早上五点半提醒我
T0055G0013S0321 昆明哪里的小锅米线好吃
T0055G0013S0263 轩辕传奇好玩吗
T0055G0013S0057 没有没穿衣服的
T0055G0013S0123 明天晚上五点半叫我起床
T0055G0013S0161 你去美国要多久时间多长时间
T0055G0013S0439 我不是谁的老公
T0055G0013S0083 给我搜索一下电影吗
T0055G0013S0134 帮我给爹爹打电话
T0055G0013S0393 卡奇的歌给我听
T0055G0013S0429 拨打别人电话的时候为什么会说网络忙
T0055G0013S0020 你的脸皮怎么那么厚
T0055G0013S0048 请下载会说话的猫
T0055G0013S0268 你真的他妈的好笑
T0055G0013S0272 附近有吃的没有啊
T0055G0013S0008 十二月属于什么星座
T0055G0013S0365 我印象有打印版的
T0055G0013S0114 有两个人分别掉进水中一个叫死人另个叫什么
T0055G0013S0366 今天是农历初几
T0055G0013S0112 他知道咱俩联系上了想请你吃饭不知你肯赏脸吗
T0055G0013S0488 百变大咖秀第二季
T0055G0013S0356 拒绝任何人来电
T0055G0013S0326 你叫什么名字 我问的是你叫什么名字
T0055G0013S0266 讲一个笑话美国人的实力
T0055G0013S0026 可是你这样的问题都回答不了
T0055G0013S0317 中国的地理位置
T0055G0013S0312 请帮我查附近的咖啡店
T0055G0013S0324 北京的邮政编码
T0055G0013S0155 我现在很烦怎么办
T0055G0013S0246 打开幺八九邮箱
T0055G0013S0449 冬天来了我好无论
T0055G0013S0034 播放 传奇 李健唱的
T0055G0013S0230 讲一个色情的笑话
T0055G0013S0088 我们在这边等你
T0055G0013S0304 文员的工在谁之上在谁之下
T0055G0013S0385 翻译明天有时间吗
T0055G0013S0239 终极三部曲里除了终极一班终极一家另外一部是终极三国吗
T0055G0013S0340 一加一在什么情况下等于二
T0055G0013S0032 你付钱帮我买东西
T0055G0013S0010 你在说一下我在什么地方
T0055G0013S0101 好的为我唱一首歌吧
T0055G0013S0215 嗯 搜索一下关于日本的
T0055G0013S0400 有什么免费的电影
T0055G0013S0285 安卓电话录音软件
T0055G0013S0313 本机话费为何这么贵
T0055G0013S0415 那就去马融他们学校
T0055G0013S0024 你现在跟我说两句话
T0055G0013S0496 给老婆来电话短信
T0055G0013S0294 毕业于啥学院能做演员
T0055G0013S0006 六的三次方是几
T0055G0013S0104 是先有男人还是先有女人
T0055G0013S0335 快递公司宅急送的电话
T0055G0013S0349 播放没有烟总有花
T0055G0013S0269 陆逊火烧七百里连营的地方
T0055G0013S0339 有哪些好的笑话网站
T0055G0013S0103 大后天的天气预报
T0055G0013S0176 COF 指数影响
T0055G0013S0172 草日京鬼步指令
T0055G0013S0192 我不叫恐怖分子
T0055G0013S0454 给王晓伟发信息说你是个大笨蛋
T0055G0013S0085 爱我你就亲亲我 爱我你就抱抱我
T0055G0013S0277 美女你三围多少啊
T0055G0013S0291 大新县金绿荫宾馆号儿码儿
T0055G0013S0183 请问你今天晚上还没睡着吗
T0055G0013S0177 我问你你的毛多吗
T0055G0013S0238 北理到中关村总路程是多少
T0055G0013S0159 仙剑中长卿雪见景天紫萱的结局
T0055G0013S0410 寂寞沙洲冷 歌曲
T0055G0013S0407 我颠覆了整个世界只为摆正你的倒影用因英语怎么翻译
T0055G0013S0117 请问可以查黔西南晴隆县的邮政电话号码吗给我发一个来
T0055G0013S0298 看看你长什么样子
T0055G0013S0401 星巴克的咖啡大杯的有多少升
T0055G0013S0398 幺幺四最近活动内容
T0055G0013S0383 徐家汇附近K 歌
T0055G0013S0206 日本人都很坏吗
T0055G0013S0467 你可以和我聊什么内容
T0055G0013S0479 我要听亲爱的我们究竟怎么了
T0055G0013S0005 龙口市规划建设管理局
T0055G0013S0003 成都芳草街怎么走
T0055G0013S0256 春天到了预防一些病注意什么比如饭类水果类
T0055G0013S0242 向老师道歉的信息
T0055G0013S0386 我要看喵喵咪呀
T0055G0013S0437 你的语速是多少
T0055G0013S0091 帮我悄悄取消数据开关
T0055G0013S0248 你知道我在干什么
T0055G0013S0314 什么时候接你去
T0055G0013S0186 搜索二零一三电影
T0055G0013S0232 你唱一首爱情歌曲吧
T0055G0013S0292 从是从广州到四川的车票多少钱火车票
T0055G0013S0127 打电话给张振鹏
T0055G0013S0098 我要听军中绿花
T0055G0013S0271 老公我不回去吃饭啊
T0055G0013S0476 我现在不高兴呀
T0055G0013S0068 电瓶车启动不了怎么办
T0055G0013S0450 请问明天什么天气
T0055G0013S0194 今年中大生物系录取人名单
T0055G0013S0067 天翼华为型号是C 二八零九的手机怎么上网
T0055G0013S0198 去阳朔的路线
T0055G0013S0343 华宁县宁州镇松山路甸尾小学斜对面的KTV
T0055G0013S0387 给我讲一下 西游记
T0055G0013S0249 打电话给张天辉
T0055G0013S0278 昆明长水国际机场
T0055G0013S0001 今天什么日子
T0055G0013S0480 难道你是女人吗
T0055G0013S0414 我们家里的桌子坏掉了怎么修
