T0055G0005S0319 给马海航发短信说我爱你
T0055G0016S0451 下载PPS
T0055G0016S0034 八七六零二二二零二
T0055G0016S0283 有没有别人的声音
T0055G0016S0242 你去了三亚没有
T0055G0016S0061 呼叫幺五八八零二三四七三
T0055G0016S0259 给我煮饭
T0055G0016S0003 关掉今天早上七点半的闹钟
T0055G0016S0097 iphone 五现在大概多少钱
T0055G0016S0241 不用了 谢谢 我问你一个问题行吗
T0055G0016S0010 发短信至二零一五
T0055G0016S0357 你是傻帽你听不见我说话吗
T0055G0016S0304 张翰是不是经常和郑爽打打闹闹的啊
T0055G0016S0277 附近有嫖娼场所吗
T0055G0016S0333 五月天的 突然好想你
T0055G0016S0083 你这声音怎么设置不好
T0055G0016S0391 上飞机能带多少毫升的洗发水分开几个包装允许吗
T0055G0016S0171 播放本地音乐欢喜就好
T0055G0016S0095 小狗熊你在哪儿我一直在宿舍里和他们在等你
T0055G0016S0168 七月十二号从襄樊开往广州站的列车有当天
T0055G0016S0173 我想下载电影去哪个网站资源多
T0055G0016S0406 歌曲韩宝仪的三年
T0055G0016S0201 说话 我叫什么名字
T0055G0016S0361 能直接到填存款单就行
T0055G0016S0356 我打开哪些应用程序
T0055G0016S0227 人妖长的什么样
T0055G0016S0396 通过本服务平台可否开通WAP 功能
T0055G0016S0100 关闭以后再打开
T0055G0016S0199 我说我喜欢你傻逼
T0055G0016S0390 和你聊天真的很开心呦
T0055G0016S0435 找一首好听的歌
T0055G0016S0289 零下五至八摄氏度
T0055G0016S0349 甘肃兰州市东县公馆在哪里
T0055G0016S0473 帮我打开刚下载动态壁纸
T0055G0016S0183 什么样的男生最好
T0055G0016S0226 查一下扣费情况
T0055G0016S0486 你能听懂中国话吗
T0055G0016S0246 中华人民共和国公安部
T0055G0016S0335 蛋糕店有没有卖奶酪
T0055G0016S0093 介绍一部好电影
T0055G0016S0449 你不懂啊为什么呢
T0055G0016S0140 这个时候应该干什么
T0055G0016S0027 播放一首真实的故事
T0055G0016S0174 发短信给爱蓝飞
T0055G0016S0284 能不能换一个名字
T0055G0016S0220 我喜欢不胖不瘦的
T0055G0016S0462 你喜欢穿什么颜色内裤
T0055G0016S0012 齐州到株洲高铁
T0055G0016S0047 有个美女一直看我怎么办啊
T0055G0016S0231 西安最好的夜总会
T0055G0016S0155 弗雷德里克泰罗
T0055G0016S0300 找个吓人的音乐
T0055G0016S0299 我叫你帮我找一个老婆
T0055G0016S0164 我的英语怎么说
T0055G0016S0448 我们送的是华为C 二八零零我买的是是中兴C 三六一
T0055G0016S0288 给老公短发短信说回家吃饭
T0055G0016S0487 玻璃标本还挺贵的
T0055G0016S0116 怎样做红烧牛肉
T0055G0016S0115 深圳燃气一股多少钱
T0055G0016S0469 那会是我的老婆
T0055G0016S0142 我说我要发给迪克的短信
T0055G0016S0104 播放歌曲三个和尚
T0055G0016S0127 那你给我发一张呗
T0055G0016S0037 你是狗用英语怎么说
T0055G0016S0425 泡沫之夏 主角为什么不是黄晓明
T0055G0016S0474 拨打电话五五二
T0055G0016S0343 最新上线的电影
T0055G0016S0054 拨李强的号儿
T0055G0016S0401 谷歌倒计时
T0055G0016S0491 来人了我不认识
T0055G0016S0344 国家主席胡锦涛的简历
T0055G0016S0492 有没有未接电话
T0055G0016S0128 属羊的今年多大
T0055G0016S0007 南京明天适合爬山吗
T0055G0016S0193 看看博白今天天气
T0055G0016S0249 什么好玩的软件儿
T0055G0016S0346 今天哪个号码中了五百万
T0055G0016S0328 明天中山的天气
T0055G0016S0374 五升装福临门牌食用油价格
T0055G0016S0229 早上九点喊我起床
T0055G0016S0376 你穿的衣服没有
T0055G0016S0464 拨打李世豪电话
T0055G0016S0287 控制手机屏幕亮度
T0055G0016S0081 帮我查一下从常州到仪征的汽车班次
T0055G0016S0118 你嫁人了没有嫁人了就这样子
T0055G0016S0360 直接说话就可以了
T0055G0016S0058 请还有想报四六级的同学抓紧报名明天中午截止明天下午需要上交
T0055G0016S0274 江苏省胸科医院
T0055G0016S0130 语音识别能力差怎么办
T0055G0016S0039 太原什么时候下雪
T0055G0016S0363 说什么你都不知道
T0055G0016S0453 您的短信让我受益不浅希望大家都在发与收中享受快乐啦
T0055G0016S0080 我就是想看电视
T0055G0016S0218 查找陈刚想的位置
T0055G0016S0133 丰满型的就好了
T0055G0016S0086 怎么走路去广州南站
T0055G0016S0441 你能不能请我吃肯德基
T0055G0016S0188 哈还没周一新加坡面试
T0055G0016S0049 我这人唯一的优点就是不会说谎
T0055G0016S0450 拍一下附近最好的酒店
T0055G0016S0158 去山东省立医院
T0055G0016S0230 我说我老婆老凶了
T0055G0016S0286 星期天我们去公园玩你也过来吧
T0055G0016S0270 你吃早餐了没有啊
T0055G0016S0021 我的老婆每天都很累
T0055G0016S0002 今天有什么特别的新闻
T0055G0016S0172 我先去洗个澡
T0055G0016S0247 那你说点开心的
T0055G0016S0485 有时是什么意思
T0055G0016S0016 我说普通话标准吗
T0055G0016S0207 讲述一遍马云的经历
T0055G0016S0145 到西南民族大学
T0055G0016S0387 九八年的鹿鼎记
T0055G0016S0297 帮我找一下我老婆的电话
T0055G0016S0213 集美欢乐迪消费表
T0055G0016S0276 晚上七点三十分儿叫我
T0055G0016S0325 播放音乐最后一次
T0055G0016S0215 为什么一般男人不穿游泳衣而穿游泳裤
T0055G0016S0180 你一点都不谦虚
T0055G0016S0159 我想看少林小子
T0055G0016S0046 你就给我讲个笑话吧
T0055G0016S0066 给龙龙老公打电话
T0055G0016S0008 为什么总听不懂我说的话
T0055G0016S0383 你必须满足我的性需求
T0055G0016S0212 十一点二十五叫我
T0055G0016S0232 我吃饭了你吃饭没有
T0055G0016S0245 武汉去上海的火车
T0055G0016S0460 世界末日怎么没有来
T0055G0016S0114 去武汉大学看樱花要钱吗
T0055G0016S0393 今天下午五点半叫我起床
T0055G0016S0432 舒蓓康保健内衣
T0055G0016S0073 一小时以后提醒我打一份儿车的声明
T0055G0016S0334 可以清空对话记录吗
T0055G0016S0206 新蓝筹基金走势
T0055G0016S0321 东莞到永州怎么走
T0055G0016S0056 打个电话给京东
T0055G0016S0408 一三三八三一四六零零
T0055G0016S0479 我想听日记这首歌
T0055G0016S0062 自贡到宜宾高速公路多少公里
T0055G0016S0324 车库能装几架车
T0055G0016S0187 我靠你记性还挺好的
T0055G0016S0117 太晚了我怕你早些接我
T0055G0016S0107 请问明天重庆的天气好吗
T0055G0016S0272 我说 我什么都有 就没有你这个女朋友
T0055G0016S0108 黄石哪里可以唱歌
T0055G0016S0110 传奇世界三十五级应该到哪里升级更快
T0055G0016S0124 再给我说个笑话
T0055G0016S0371 悦来酒店的房间
T0055G0016S0089 遂宁市何时建市A 一九五八B 一九五九年C 一九六零年
T0055G0016S0302 i love you i love you
T0055G0016S0351 太好了 你早点休息吧 我要睡觉了
T0055G0016S0152 给家里面打电话
T0055G0016S0233 我很烦我心情不好
T0055G0016S0484 播放突然间的自我
T0055G0016S0200 微波炉是做什么的
T0055G0016S0323 知道我叫什么名字了吗
T0055G0016S0296 潮州市潮安县有什么好小吃
T0055G0016S0303 苹果手机是谁发明的
T0055G0016S0099 翻译我无法表达我的感激之情
T0055G0016S0031 为什么一加一等于二
T0055G0016S0267 我不快乐怎么办
T0055G0016S0375 附近有没有二十四小时营业的餐饮
T0055G0016S0122 日本人都是变态
T0055G0016S0268 打电话给王岐山
T0055G0016S0417 怎么减肥效果最好
T0055G0016S0433 删除所有的备忘录
T0055G0016S0269 面向当代企业 高校和白领阶层的新锐人力资源媒体
T0055G0016S0067 为什么用UIM 卡通话会 系统无法为您服务
T0055G0016S0195 你是不是亲生的啊
T0055G0016S0250 怎样检查精子质量
T0055G0016S0358 十二月二十一号北京站去往西安的火车票
T0055G0016S0235 请问现在的西甲  英超  意甲  射手榜名单及进球数
T0055G0016S0494 有哪些好听的歌
T0055G0016S0447 帮我查一下明天的天气情况
T0055G0016S0499 你不让我吃能行吗
T0055G0016S0203 你现在能上网吗
T0055G0016S0392 张艺谋与赵本山的地球
T0055G0016S0280 播放歌曲今生缘
T0055G0016S0131 明天早晨七点四十分提醒我拿公交卡
T0055G0016S0044 我曾经最爱的女人
T0055G0016S0082 播放电影人体蜈蚣
T0055G0016S0177 你不会讲普通话吗
T0055G0016S0471 我想买戴尔电脑
T0055G0016S0345 就是因为吃了早饭午饭才吃不下了啊变胖了
T0055G0016S0153 儿子读书成绩差怎么办
T0055G0016S0496 同我打电话给老舅
T0055G0016S0290 打开相机照相功能
T0055G0016S0244 给你找一个老公好吗
T0055G0016S0292 宽带错误六七八
T0055G0016S0430 开通会员儿在宁夏应播打
T0055G0016S0338 你们是蠢猪还是脑残这么简单的都不会
T0055G0016S0261 我今天心情好差
T0055G0016S0146 你能连接电脑主机吗
T0055G0016S0256 三四五一二三四五
T0055G0016S0163 可以用嘴说的吗
T0055G0016S0019 明天盐城的天气
T0055G0016S0160 我不想说女朋友回家怎么办呀
T0055G0016S0341 告诉我现在有什么好吃的
T0055G0016S0380 给我放歌曲 我们都一样
T0055G0016S0340 灰褐色的兔子多不多
T0055G0016S0468 大连汽车违章查询
T0055G0016S0481 给我唱一首歌听一下
T0055G0016S0488 网络一线牵放一首
T0055G0016S0480 提前有部队到学校招收的大三文艺学生报名要有哪些手续
T0055G0016S0071 好像我们的老师是个法国人
T0055G0016S0085 我不喜欢社会主义
T0055G0016S0310 我想从两江飞往厦门的机票 从一号到五号有最低折扣机票吗
T0055G0016S0373 广东省高级人民法院
T0055G0016S0074 明天早上四点钟提醒我开会
T0055G0016S0248 蜂蜜吃了有什么好处
T0055G0016S0076 绍兴的名胜古迹
T0055G0016S0221 西安优优KTV 包间怎么算
T0055G0016S0253 你把我灌醉是什么歌
T0055G0016S0452 光盘效果不太好照片儿底片儿保存好还要洗些
T0055G0016S0307 怎么声这么小
T0055G0016S0070 上海美术馆在哪里
T0055G0016S0096 请三点半到十五号楼下集合
T0055G0016S0224 那你什么时候变得更聪明呢
T0055G0016S0078 一个小时以后叫我可以吗
T0055G0016S0048 城关小学在哪里
T0055G0016S0263 告诉我吃什么样的早餐比较有营养
T0055G0016S0301 山海关至锦州动车
T0055G0016S0312 可以叫我一声啊
T0055G0016S0065 市教育局在哪里
T0055G0016S0184 播放迈克儿杰克逊的歌
T0055G0016S0165 给我讲个故事好吗
T0055G0016S0009 打个电话给熊经理
T0055G0016S0483 松原市天气预报
T0055G0016S0053 明日六点二十五分叫我起床
T0055G0016S0251 我告诉你一个秘密 我有老婆了
T0055G0016S0205 你知道我的小宝叫什么名
T0055G0016S0482 给我讲故事快点
T0055G0016S0278 龙管男是什么意思
T0055G0016S0318 我想知道有什么好玩儿的
T0055G0016S0362 今天晚上陪我睡觉
T0055G0016S0219 请问现在在超市吗
T0055G0016S0458 海洋世界的门票是多少钱
T0055G0016S0434 百度的创始人是谁
T0055G0016S0038 发短信给国外手机号.怎么发电信又是怎么收费
T0055G0016S0225 给我播放这首歌吧
T0055G0016S0295 潍坊七中篮球队
T0055G0016S0211 有什么经济实惠的饭店
T0055G0016S0059 我问你能不能听懂我说的普通话
T0055G0016S0403 走到哪里了带一块儿豆腐回来做汤
T0055G0016S0398 我要买iphone 五
T0055G0016S0455 天行者天脊乾坤剑属性
T0055G0016S0105 你是个聪明的机器人儿
T0055G0016S0254 北京上海航班
T0055G0016S0013 我想听你唱我要死了
T0055G0016S0111 如何抵制不良诱惑增强抵制不良诱惑的能力
T0055G0016S0331 蓝花郎酒多少钱一瓶
T0055G0016S0275 地球上为什么只有男人和女人
T0055G0016S0271 去成都商贸城怎么走啊
T0055G0016S0252 以后叫我大宝宝
T0055G0016S0445 你现在发过来吧
T0055G0016S0121 提尔皮茨号超级战列舰
T0055G0016S0389 可以换一首歌吗
T0055G0016S0437 告诉一个人认真仔细坚强开心自信的一句精辟的话
T0055G0016S0493 请在明天早上八点
T0055G0016S0202 打电话给二老婆
T0055G0016S0217 有没有关于洛克王国的游戏
T0055G0016S0197 今儿今儿个限行尾号是单号儿还是双号
T0055G0016S0216 我去韩国工作和找房子五千元人民币
T0055G0016S0222 武汉有多少所体育类型的大学
T0055G0016S0399 我叫你叫我老头儿
T0055G0016S0326 打开最新全国电子狗
T0055G0016S0459 随便播放一首吧
T0055G0016S0161 不和你聊天了关了吧
T0055G0016S0369 我心情不太好你能开导开导我吗
T0055G0016S0365 what 是什么意思
T0055G0016S0129 喂喂喂喂喂喂
T0055G0016S0353 桂江一中在哪里
T0055G0016S0136 二十六号到上海的火车
T0055G0016S0132 我要给罗晋发送我爱你
T0055G0016S0422 我在床上睡不着呀
T0055G0016S0091 打电话给王力宏
T0055G0016S0370 嘿嘿今天打的好爽我们班女生被我追着打
T0055G0016S0119 你们放学了吗不要老让姐等你啊快出来啊没有学生会的啊
T0055G0016S0005 有缘婚恋怎么玩儿了
T0055G0016S0415 广州东站在什么位置
T0055G0016S0143 我要黄色的故事
T0055G0016S0120 本机没有浏览器怎么上网
T0055G0016S0024 十四点二十提醒我
T0055G0016S0436 放首音乐给我听听
T0055G0016S0429 有人欺负我怎么办
T0055G0016S0404 查看我附近有多少个摄像头
T0055G0016S0409 换一首好不好啊
T0055G0016S0498 我要打电话给老爸
T0055G0016S0166 去华强北怎么走
T0055G0016S0477 江苏卫视最早什么时候重播仙剑三
